120601
22924	41822	0
8239	41822	0
35991	41822	0
44681	41822	0
32400	41822	0
39365	41822	0
4053	41822	0
3735	41822	0
18639	41822	0
35867	41822	0
11517	41822	0
17300	41822	0
38360	41822	18
26979	41822	0
45982	41822	0
1407	41822	0
14765	41822	0
42510	41822	0
44743	41822	2
20001	41822	0
30636	41822	0
20358	41822	0
37842	41822	0
42174	41822	0
43787	41822	0
35496	32940	0
8239	32940	1
39365	32940	1
4053	32940	1
43855	32940	0
3735	32940	1
35867	32940	1
40587	32940	0
44138	32940	0
26979	32940	1
45982	32940	1
17896	32940	0
1407	32940	1
42510	32940	1
30636	32940	1
20358	32940	1
41449	32940	0
37842	32940	1
43787	32940	1
3577	3951	0
7426	3951	0
39365	3951	2
3735	3951	2
35867	3951	2
28165	3951	0
39616	3951	0
38360	3951	19
35814	3951	0
45982	3951	2
45206	3951	0
1407	3951	2
30636	3951	2
41449	3951	1
37842	3951	2
3577	18769	1
8682	18769	0
7426	18769	2
39365	18769	3
43855	18769	1
3735	18769	3
17471	18769	0
45982	18769	3
30636	18769	3
43787	18769	2
3577	43426	2
8682	43426	1
8239	43426	2
33565	43426	0
7426	43426	1
30274	43426	0
46365	43426	0
35867	43426	3
17300	43426	1
25585	43426	0
38991	43426	0
19920	43426	0
43787	43426	3
3577	29399	3
8239	29399	3
33565	29399	1
7426	29399	3
39365	29399	4
35867	29399	4
17300	29399	2
25585	29399	1
38991	29399	1
43787	29399	4
7426	5516	4
39365	5516	5
25585	5516	2
25364	5516	0
3344	5516	0
22686	5516	0
36503	39908	0
36620	39908	0
25364	39908	1
47768	39908	0
3344	39908	1
22686	39908	1
35226	39908	0
7786	39908	3
3344	16052	2
35226	16052	1
7786	16052	0
36503	2069	1
35758	2069	0
35226	2069	2
7786	2069	1
35758	26622	1
47768	26622	1
35226	26622	3
7786	26622	2
36503	36548	2
35758	36548	2
47768	36548	2
35226	36548	4
7786	36548	4
36503	12636	3
35758	12636	3
47768	12636	3
36503	37312	4
19037	37312	0
25409	37312	0
38110	37312	0
47768	37312	4
47867	37312	0
25409	23137	1
38110	23137	1
15147	23137	0
47768	23137	5
7786	23137	5
25409	23887	2
38110	23887	2
15147	23887	1
7831	23887	0
21000	23887	0
15025	23887	0
7798	23887	0
47768	23887	6
47867	23887	1
7786	23887	6
37149	38838	0
36503	38838	5
12377	38838	0
25409	38838	3
38110	38838	3
28702	38838	0
7831	38838	1
17050	38838	0
47768	38838	7
47867	38838	2
7786	38838	7
38110	24678	4
28702	24678	1
7831	24678	2
15025	24678	1
17050	24678	1
47768	24678	8
44743	24678	0
7786	24678	8
38110	927	5
28702	927	2
29863	927	0
17050	927	2
44743	927	1
38110	10695	6
28702	10695	3
29863	10695	1
15025	10695	2
17050	10695	3
44743	10695	3
7786	10695	9
38110	45144	7
28702	45144	4
29863	45144	2
36052	45144	0
17050	45144	4
44743	45144	4
7786	45144	10
35713	11496	0
38110	11496	8
28702	11496	5
22403	11496	0
17050	11496	5
44743	11496	5
7786	11496	11
35713	36245	1
38110	36245	9
7831	36245	3
17050	36245	6
537	36245	0
7786	36245	12
38110	7266	10
38172	7266	0
17896	7266	1
17050	7266	7
537	7266	1
7786	7266	13
38110	8042	11
7629	8042	1
38172	8042	1
22403	8042	1
537	8042	2
44743	8042	6
38110	32727	12
38172	32727	2
7831	32727	4
44743	32727	7
38110	18547	13
10036	18547	0
7629	18547	0
17050	18547	8
44743	18547	8
38110	43230	14
10036	43230	1
7629	43230	2
11854	43230	0
38110	9596	15
47948	9596	0
11854	9596	1
537	9596	3
7629	5305	3
7629	39696	4
38360	39696	0
38360	6109	1
39726	6109	0
38360	30834	2
39726	30834	1
3681	16610	0
10809	41305	0
15989	3429	0
29832	3429	0
3735	3429	4
29832	37877	1
3735	37877	5
29403	37877	0
28201	37877	0
41126	37877	0
29832	13949	2
3735	13949	6
28201	13949	1
41126	13949	1
3735	23702	7
41126	23702	2
3735	48341	8
3735	721	9
41126	721	3
3735	25228	10
3735	1527	11
3735	36027	12
33189	36027	0
3735	45712	13
3735	12878	14
3735	22583	15
3735	8665	16
21807	19956	0
21807	5903	1
3735	6734	17
42917	31402	0
3735	31402	18
21807	7520	2
42917	7520	1
3735	7520	19
21807	27017	3
42917	27017	2
3735	27017	20
21807	3228	4
22282	3228	0
42917	3228	3
3735	3228	21
18384	3228	0
21807	17987	5
22282	17987	1
3735	17987	22
18384	17987	1
21807	42683	6
22282	42683	2
21807	13770	7
3735	13770	23
38360	13770	3
21807	14568	8
3735	14568	24
18384	14568	2
38360	14568	4
4412	14568	0
21807	39208	9
3735	39208	25
18384	39208	3
38360	39208	5
21807	15314	10
4412	15314	1
21807	1304	11
21807	25815	12
3735	25815	26
38360	25815	6
3735	2133	27
38360	2133	7
21807	46278	13
18384	46278	4
38360	46278	8
21807	22397	14
18384	22397	5
38360	22397	9
21807	37370	15
18384	37370	6
38360	37370	10
38360	23193	11
38360	47829	12
38360	44411	13
42174	44411	1
38360	10734	14
42174	10734	2
22282	30406	3
38360	30406	15
42174	30406	3
22282	6503	4
38360	6503	16
22282	31198	5
38360	31198	17
5224	31198	0
42174	31198	4
48104	34824	0
21604	34824	0
38500	34824	0
33473	34824	0
48205	34824	0
32371	34824	0
38030	34824	0
21604	44507	1
45458	44507	0
39573	44507	0
32371	44507	1
45458	10869	1
28408	10869	0
45458	20619	2
22143	31303	0
38500	31303	1
35995	31303	0
45458	31303	3
3774	31303	0
16560	31303	0
1069	31303	1
41217	31303	0
21372	31303	0
36594	31303	0
25261	31303	0
2115	31303	0
21604	7429	2
20035	7429	1
38500	7429	2
15291	7429	0
21890	7429	0
45458	7429	4
3774	7429	1
1069	7429	0
34886	7429	0
25261	7429	1
20035	32089	0
38500	32089	3
3774	32089	2
26908	32089	0
36594	32089	1
42854	8213	0
38500	8213	4
3090	8213	0
25261	8213	2
38500	27743	5
30629	27743	0
17546	27743	0
38500	3913	6
38500	28514	7
38500	4677	8
26877	4677	0
38500	29361	9
38500	5473	10
33473	5473	1
26877	5473	1
33473	30174	2
33473	25719	3
33473	2023	4
30480	2023	0
39494	26570	0
19924	27405	0
19924	46964	1
44296	90	0
44296	24632	1
44296	890	2
44296	20419	3
44296	45102	4
35591	21202	0
44296	21202	5
35591	45878	1
35591	21970	2
44296	21970	6
44296	46629	7
44296	17692	8
32434	42382	0
44296	42382	9
44296	18503	10
30282	43187	0
44296	43187	11
30282	19328	1
44296	19328	12
30282	44007	2
30282	20113	3
44296	20113	13
44296	39652	14
12538	40461	0
1616	41265	0
31775	17356	0
30282	17356	4
31775	37061	1
4830	13161	0
4830	37844	1
30282	10430	5
4830	12060	2
4830	36745	3
4830	7793	4
4830	9360	5
4830	34069	6
4830	5086	7
4830	29750	8
45836	3182	0
16304	14910	4
14787	14910	0
20134	14910	0
14831	14910	0
8102	14910	0
16304	24650	5
10370	24650	1
10370	39541	2
41381	39541	0
35287	40362	0
41381	40362	1
16304	1710	6
41381	1710	2
41381	11458	3
16304	12277	7
16906	12277	0
16304	27087	8
16906	27087	1
16304	46648	9
23235	46648	0
43439	46648	0
21838	13048	0
14780	47407	0
41381	23568	4
16304	24329	10
41381	34314	5
16304	20132	11
41381	20896	6
15976	30806	0
41381	30806	7
15976	45578	1
41381	45578	8
15976	21680	2
43439	21680	1
41381	21680	9
15976	31576	4
41381	31576	10
15976	41283	3
41381	41283	11
41381	7698	12
16304	32389	12
39451	32389	0
41381	32389	13
16304	42033	13
10370	42033	0
41381	42033	14
14611	8519	0
39451	28010	1
39451	42865	2
29104	28818	0
16304	4972	18
39451	4972	3
29104	4972	1
16304	14738	19
29104	14738	2
1888	14738	0
29104	29640	3
1888	29640	1
16304	39362	20
29104	39362	4
23813	39362	0
1888	39362	2
16304	15483	21
9788	15483	1
23813	15483	1
1888	15483	3
9788	30484	2
29104	30484	5
23813	30484	2
1888	30484	4
16304	1485	17
29104	1485	6
9788	25993	0
16304	2295	22
9788	2295	3
29104	2295	7
1888	2295	5
16304	12078	23
9788	12078	4
29104	12078	8
1888	12078	6
9788	36766	5
29104	36766	9
1888	36766	7
16304	3076	14
9788	3076	6
29104	3076	10
23813	3076	3
1888	3076	8
16304	12853	24
9788	12853	7
23813	12853	4
1888	12853	9
16304	27671	25
9788	27671	8
1888	27671	10
16304	37533	26
